id,vulnerability,discipline,source,created_at,updated_at,sector_id,subsector_id
5519cf3b-17a8-4337-9e19-26d3cf97255d,"Facility personnel are not aware of the nationwide ""If You See Something, Say Something™™"" public awareness campaign. This program is intended to raise public awareness of indicators of terrorism and terrorism-related crime and to emphasize the importance of reporting suspicious activity to the proper authorities.",Facility Information,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
2e809aa5-ce17-4033-b879-bd01a51a5246,"The primary law enforcement agency has not conducted an onsite visit of the facility. Onsite visits can familiarize first responders with the facility, key personnel, site layout, and other issues that would enhance incident response.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
a216f29c-15aa-48e6-8b19-73d354d95d9b,"The facility does not have interoperable communications with the primary law enforcement agency. Without interoperable communications, the facility cannot communicate with first responders in order to coordinate security and response activities.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
a5d20abc-a2e5-4eda-92c9-810f35c3237a,"The primary fire response agency has not conducted an onsite visit of the facility. Onsite visits can familiarize first responders with the facility, key personnel, site layout, and other issues that would enhance incident response.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
7056b118-4aa6-47f5-aef0-d6a2dbcd59ca,"The facility does not have interoperable communications with the primary fire response agency. Without interoperable communications, the facility cannot communicate with first responders in order to coordinate response activities.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
40723a5e-1979-4f90-8bf8-281ba4f1e5ae,"The primary emergency medical response agency has not conducted an onsite visit of the facility. Onsite visits can familiarize first responders with the facility, key personnel, site layout, and other issues that would enhance incident response.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
4ecd8519-266e-42f5-b03c-9ae191419b38,"The facility does not have interoperable communications with the primary emergency medical response agency. Without interoperable communications, the facility cannot communicate with first responders in order to coordinate response activities.",First Preventers-Responders,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
327f4f54-58e6-4d51-b116-5b797aaee585,The facility does not exchange information with the FBI. Information exchange with the FBI would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
d6ac6f68-fb35-473f-ad3b-269234c845d6,The facility does not exchange information with the ISAC for its sector. Information exchange with the ISAC would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
0e0a6f6f-0a8d-43e1-8835-bb5af7d189ac,The facility does not exchange information through the HSIN portal. Using the HSIN portal for information sharing would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
7cda6bc1-cff7-4851-8e33-e417a6e2e35f,The facility does not exchange information via InfraGard. Becoming a member of InfraGard would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
5c14bc7c-9e1d-474d-a69b-422343c7749d,The facility does not exchange information with any federal agencies. Information exchange with federal agencies would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
c94ff67f-6b03-4493-bff8-aee889abfa4e,The facility does not exchange information with state and/or major urban area fusion centers. Information exchange fusion centers would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
ca8d9b02-7668-48c2-8e43-ae1685778ebc,The facility does not exchange information with the state EMA. Information exchange with the state EMA would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
26a1ff8a-bc33-4e92-a6bf-885c7b17919e,The facility does not exchange information with state law enforcement. Information exchange with state law enforcement would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
7f166e81-4388-4769-b606-54903a243ebb,The facility does not exchange information with the local EMA. Information exchange with the local EMA would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
5fec15c5-3cdf-4bdd-9733-d9d31e17f84e,The facility does not exchange information with local law enforcement. Information exchange with local law enforcement would enhance the security and resilience posture of the facility.,Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
f156227e-6d6c-4f3d-ac60-7dd38143f65f,"There is a lack of formal, consistent sharing of security and safety information with neighboring properties, adjacent tenants, or associated departments.",Information Sharing,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
26e99eda-0c20-4f8d-b7a6-8c5db3ddc659,"The facility does not have a designated security manager. The lack of a security manager may hinder the application of security policies, programs, or procedures.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
48d46cfc-3998-40c8-ba3b-05da63b60a4a,The facility does not have a written security plan.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
e7918beb-9968-4e88-a1f2-6c404db51c2b,"The facility does not have a written security plan. Although the facility may have documentation that addresses security policies, programs, and/or procedures, it does not have a separate, comprehensive security plan.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
9f103efe-2f7d-4b9b-9a87-09a2025f4ad9,The corporate-level security plan does not reflect facility-specific needs.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
61ab92bb-9b74-43a4-8b2d-53af6360dab8,The facility has not coordinated the security plan with local law enforcement.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
8a959b12-0eec-49d9-a120-f523a9b47825,The facility does not train personnel on the security plan.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
83c3f5a6-6891-42db-aca0-ad924ae45564,The facility does not exercise its security plan annually.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
4a6dffa3-4e96-4bff-91db-1667b2b76d6e,The facility's security plan is missing key elements.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
84c7d28a-8dcc-4197-9a47-6e15a0e46755,The facility lacks procedures for handling suspicious packages.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
5b856f2e-d2f5-4fb6-8ff6-5fb831b4740a,"The facility does not have a mass notification system or process. During an event, no method exists to alert all participants of current threats and the appropriate responses. The lack of communication or notification may lead to increased injuries or deaths.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
77364c96-7208-4b23-b2c1-10e83c6bcb5d,"The facility has not tested, exercised or documented its mass notification system. Using an untested system can cause confusion when used during an incident.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
80a620d0-45c3-42cc-bcb1-b0997ef7a1ab,"The customers, employees or volunteers do not display or practice situational awareness related to security.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
b1e53e5e-2478-4a68-b22b-ab8b68de9ff8,There is no capability or process for an employee to report a security concern.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
5ea1f9c3-a573-4ae7-a07b-2bc03dd60cd0,The facility does not participate in any security working groups.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
606598f9-5289-480c-a3d3-32aa1c3eb41a,The facility does not conduct background checks on all employees.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
d9f1a917-b52c-429b-b7c8-1785d188542a,"Although the facility conducts background checks on employees, checks are conducted only at initial hire. Recurring background checks are not conducted.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
9b963a9d-746e-406f-b310-82f2ca1b9abb,The facility does not conduct background checks on employee security personnel.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
29ce7ae1-3ace-4f0d-bfe2-cffd0d87aa76,"Although the facility conducts background checks on employee security personnel, checks are conducted only at initial hire. Recurring background checks are not conducted.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
a40135f0-5a50-4edf-85ce-259e10dc14c0,Background checks are not conducted on contract security personnel.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
a2ee4e96-a3b2-4a86-b8a4-5195cc05812e,"Although background checks are conducted on contact security personnel, checks are conducted only at initial hire. Recurring background checks are not conducted.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
6f821e0b-faf8-40c5-a78c-57d50fcea72c,Background checks are not conducted on contractors.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
644af84b-298d-4088-821c-73dc9b72c0c2,"Although background checks are conducted on contactors personnel, checks are conducted only at initial hire. Recurring background checks are not conducted.",Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
59cc2e5e-317f-4151-a6e1-c4c467acb999,Background checks are not conducted on vendors.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
7dd5ee97-5f3c-4773-bda9-123f1a674cb7,Although background checks are conducted on vendors. checks are conducted only at initial hire. Recurring background checks are not conducted.,Security Management,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
48641ea9-e8eb-4484-863c-6afc3672ea1c,"The facility does not have a designated business continuity manager. The lack of a designated business continuity manager may hinder the implementation of business continuity policies, programs, or procedures.",Resilience Management - Business Continuity,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
2e02f8bd-815f-4832-a2cb-67d18486e0f7,The facility does not have a written business continuity plan.,Resilience Management - Business Continuity,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
5865fc03-ed84-430e-ab52-9897eb532bf2,The facility does not train personnel on the business continuity plan.,Resilience Management - Business Continuity,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
7c6b4abd-b4c6-49bf-aaa0-1fcdcd157b19,"The facility trains some, but not all, personnel on the business continuity plan.",Resilience Management - Business Continuity,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
eb220009-0b06-443e-9859-db2c91a3c074,The facility does not exercise its business continuity plan annually.,Resilience Management - Business Continuity,,2025-10-16T14:51:22+00,2025-10-16T14:51:22+00,,
